asofdate,pnl,pointForecast,forecastday,product_name
2018-07-16 21:46:00+00:00,69.5,2798.3141992198152,5,SPY
2018-07-23 21:46:00+00:00,14.5,2812.7333644925334,5,SPY
2018-07-30 21:46:00+00:00,9.75,2822.4826935976457,5,SPY
2018-08-13 21:46:00+00:00,42.75,2861.3692762846717,5,SPY
2018-08-27 21:46:00+00:00,20.75,2863.6026666556168,5,SPY
2018-09-04 21:46:00+00:00,37.5,2901.206787953216,5,SPY
2018-09-25 21:46:00+00:00,26.5,2916.753005994773,5,SPY
2018-10-09 21:46:00+00:00,20.0,2933.1971437965967,5,SPY
2018-10-30 21:46:00+00:00,152.0,2664.7099046775243,5,SPY
2018-11-20 22:46:00+00:00,118.0,2699.0249864570023,5,SPY
2018-11-28 22:46:00+00:00,49.5,2654.6462978702875,5,SPY
2018-12-12 22:46:00+00:00,53.25,2695.67720146942,5,SPY
2018-12-19 22:46:00+00:00,45.5,2650.31743783691,5,SPY
2018-12-27 22:46:00+00:00,159.25,2486.206260698096,5,SPY
2019-02-19 22:46:00+00:00,13.75,2744.444562899784,5,SPY
