,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.resid,ma.L1.resid
103,2006-10-01 22:00:00+00:00,-1354.7096023424024,-1340.5918859923568,-1349.028925773949,0.013056949678753909,0.0002624416131844388,5,True,252,2000,1,1,0 days 00:00:00.134884,CL1,0.2675271282685203,0.24770161672503924
104,2006-10-08 22:00:00+00:00,-1353.2560031732255,-1339.13828682318,-1347.575326604772,0.01307359736918651,0.000263953836139382,5,True,252,2000,1,1,0 days 00:00:00.159706,CL1,0.2274065632924015,0.20580439629738717
105,2006-10-15 22:00:00+00:00,-1347.9469438581632,-1333.8292275081176,-1342.2662672897097,0.01326405515056494,0.0002695819559151382,5,True,252,2000,1,1,0 days 00:00:00.151226,CL1,0.22026876462060999,0.19860289230449052
106,2006-10-22 22:00:00+00:00,-1350.713260910421,-1336.5955445603754,-1345.0325843419675,0.013184837612959719,0.0002666434239402907,5,True,252,2000,1,1,0 days 00:00:00.148751,CL1,0.2221010230688094,0.2002340714002979
107,2006-10-29 23:00:00+00:00,-1346.6889381402339,-1332.5712217901882,-1341.0082615717804,0.01330403705281044,0.00027092476991561273,5,True,252,2000,1,1,0 days 00:00:00.138958,CL1,0.222036039612432,0.19968833704156969
108,2006-11-05 23:00:00+00:00,-1345.9460244949241,-1331.8283081448785,-1340.2653479264707,0.013363663807247884,0.00027172797321447953,5,True,252,2000,1,1,0 days 00:00:00.162623,CL1,0.22628855112023125,0.20473232083203965
109,2006-11-12 23:00:00+00:00,-1343.46880549641,-1329.3510891463643,-1337.7881289279564,0.013451438690044233,0.00027440239475200797,5,True,252,2000,1,1,0 days 00:00:00.190857,CL1,0.21153929448009534,0.18924482595408293
110,2006-11-19 23:00:00+00:00,-1339.501043551712,-1325.3833272016664,-1333.8203669832585,0.013514357739460274,0.0002787613953049466,5,True,252,2000,1,1,0 days 00:00:00.150594,CL1,0.20812158375664866,0.18589401965953295
111,2006-11-28 23:00:00+00:00,-1338.5726095980735,-1324.454893248028,-1332.89193302962,0.013542969842324745,0.0002798038808399031,5,True,252,2000,1,1,0 days 00:00:00.175191,CL1,0.24126197108306383,0.220341000571863
112,2006-12-05 23:00:00+00:00,-1343.7885114859728,-1329.6707951359272,-1338.1078349175193,0.01334734870782897,0.00027405888051062794,5,True,252,2000,1,1,0 days 00:00:00.127033,CL1,0.22094532307678583,0.19971971818146628
113,2006-12-12 23:00:00+00:00,-1347.1680526798518,-1333.0503363298062,-1341.4873761113984,0.01320891751193806,0.00027040874833920324,5,True,252,2000,1,1,0 days 00:00:00.148493,CL1,0.22918929925947773,0.20902506172811167
114,2006-12-19 23:00:00+00:00,-1350.644551421895,-1336.5268350718493,-1344.9638748534414,0.013072514726922413,0.0002666944780576412,5,True,252,2000,1,1,0 days 00:00:00.133641,CL1,0.19790350982276503,0.17733552419518897
115,2006-12-27 23:00:00+00:00,-1346.159092638169,-1332.0413762881235,-1340.4784160697156,0.01329546915602469,0.00027151465760690344,5,True,252,2000,1,1,0 days 00:00:00.148371,CL1,0.21172954221700524,0.1919782883545414
116,2007-01-04 23:00:00+00:00,-1328.1395169318307,-1314.021800581785,-1322.4588403633772,0.013577540400618733,0.00029163203085709997,5,True,252,2000,1,1,0 days 00:00:00.247081,CL1,0.024059758465681112,
117,2007-01-11 23:00:00+00:00,-1324.8493640777442,-1310.7316477276986,-1319.1686875092907,0.013634451792282903,0.00029545832652225744,5,True,252,2000,1,1,0 days 00:00:00.163381,CL1,0.2525395716819908,0.23545724449707864
118,2007-01-21 23:00:00+00:00,-1323.261455130566,-1309.1437387805204,-1317.5807785621125,0.013745439412637601,0.00029733888827946525,5,True,252,2000,1,1,0 days 00:00:00.149522,CL1,0.24808370497431098,0.2301910370941487
119,2007-01-28 23:00:00+00:00,-1314.9583214808686,-1300.840605130823,-1309.277644912415,0.013942981212032083,0.0003072977705937614,5,True,252,2000,1,1,0 days 00:00:00.142283,CL1,0.2870725147283819,0.26779772503969185
120,2007-02-04 23:00:00+00:00,-1306.403285796378,-1292.2855694463324,-1300.7226092279245,0.014092681632440724,0.0003178922631679751,5,True,252,2000,1,1,0 days 00:00:00.158750,CL1,0.35737769807012404,0.3400511585120141
121,2007-02-11 23:00:00+00:00,-1298.1141455546503,-1283.9964292046047,-1292.4334689861969,0.014330670630743345,0.0003285247828734874,5,True,252,2000,1,1,0 days 00:00:00.137853,CL1,0.2924346335717293,0.27367234296020554
122,2007-02-19 23:00:00+00:00,-1309.028377253247,-1294.9106609032015,-1303.3477006847936,0.014056230337845374,0.0003145881412319374,5,True,252,2000,1,1,0 days 00:00:00.135726,CL1,0.32640675978660105,0.3083664388619451
